t0,m0,mw,x,y,z,area,dt
649886029029.6079,6.937584224392691e+19,7.160806,1048582.118957,5928536.354895,-11250.0,851345278.9092,20.6903076171875
650284908363.518,1.2484445368845798e+21,7.99758,143849.649859,4952513.891653,-13927.057275,8930374546.29294,82.7379150390625
650570965688.844,8.871513753419324e+19,7.231998,709353.345985,5333209.680293,-13200.0,872734882.606129,16.4412841796875
650937579901.5759,1.3838510669108032e+22,8.69406,1910666.389395,7227098.721343,-17027.027027,56868092169.38598,305.6719970703125
651067629405.2861,7.704998852720477e+20,7.857848,326808.232245,5114076.291149,-11250.0,5545521735.029804,120.8980712890625
651356164178.1572,1.2347526510401485e+20,7.32772,663570.511192,5289620.973109,-3000.0,1147448568.567602,30.4000244140625
651804289707.642,3.1368897105146505e+20,7.597666,311257.407983,5112335.575258,-13000.0,2617864235.67806,56.4217529296875
652066871400.9594,4.996840478539694e+19,7.065797,656132.223919,5282702.756406,-11700.0,827068487.137578,21.737060546875
652086970049.0496,3.989061429161796e+19,7.00058,1031352.810804,5531096.907355,-4500.0,581404209.007608,20.040771484375
652316398487.0203,6.023111484728949e+19,7.119881,852921.872875,5437032.434479,-12600.0,673604493.585076,19.830078125
652333511923.0415,6.298017828555703e+19,7.132803,170043.408832,4989592.01156,-9321.428571,1015032985.828323,23.3648681640625
652521992987.3019,2.565083032544226e+20,7.539401,61299.605868,4790042.242403,-9900.0,2057533228.562784,53.1737060546875
652864779801.5566,6.104789902585369e+19,7.12378,753910.011555,5319357.910615,-7000.0,563588693.64132,17.9139404296875
653021408075.7609,1.1808444232952363e+21,7.981462,820439.403303,5361538.288067,-14756.756757,9673539426.39009,44.496826171875
653041033113.0748,4.274090558801336e+19,7.020562,139906.538713,4951279.646793,-10000.0,485318162.487183,15.7191162109375
653250311780.9285,5.779146751209518e+19,7.107909,765153.831289,5353366.917684,-9000.0,833961042.209264,30.8564453125
653442287609.5018,6.9888774044676194e+19,7.162938,747622.36078,5355433.733232,-11700.0,597250762.702643,18.3350830078125
653455982145.2026,1.1525473459410164e+20,7.307773,1089822.229128,5576363.140762,-7158.004158,983505425.972935,29.5467529296875
653631767393.7413,1.8283213832896607e+20,7.441368,595100.425266,5287679.261429,-11700.0,1586512161.806623,29.6805419921875
653951529713.5865,8.326148956652275e+19,7.213629,681796.151074,5277118.682524,-9000.0,810400960.487964,31.610107421875
654002089050.1543,4.426997653977093e+19,7.03074,1013120.146318,5582418.155184,-11571.428571,473248285.259331,14.90234375
654252449986.3691,2.627584760155987e+20,7.546371,1911070.376464,7228180.37439,-17027.027027,3057158032.997659,36.127685546875
654317695330.8744,2.3407593507617083e+20,7.512905,1048104.678012,5569631.905148,-12857.142857,1606863834.93674,28.330810546875
654835938248.1063,4.995206416480535e+19,7.065702,744012.503153,5712482.287338,-8100.0,588086606.963783,21.2174072265625
